"iucn_name","mean_cvoi","mean_red","cvoi_lci","cvoi_uci","red_lci","red_uci","robustness_score","sensitivity_cat"
"Biological resource use",1.07993156301855,1.89691848274517,0.87115213991906,1.29578843690657,1.68633325173012,2.13569316100666,99,"Robust"
"Climate change & severe weather",0.28875607970571,2.17930808879225,0.211499949493209,0.369839427232095,1.97922856839926,2.37024220671882,68,"Highly Sensitive"
"Energy production & mining",0.9663630069015,2.23443739307706,0.771998712461964,1.17660277840908,2.05720601782344,2.42076066304072,51.5,"Highly Sensitive"
"Human intrusions & disturbance",0.999680665845473,2.72734971113129,0.798348195473543,1.23212342845157,2.56894368763529,2.8764629632193,99.8,"Robust"
"Invasive & other problematic species, genes & diseases",0.658840311731162,2.4885308317207,0.557184221352059,0.769881303305506,2.34912749522258,2.62759424517206,47,"Highly Sensitive"
"Pollution",0.453740574952648,1.97340109499663,0.336492077941442,0.57115453537633,1.77840973468987,2.17851206979665,97.9,"Robust"
"Transportation & service corridors",0.494295486626595,2.30776714472147,0.351085696191077,0.65925914364145,1.87861370056786,2.70150539897053,57.3,"Highly Sensitive"
