"iucn_name","mean_cvoi","mean_red","cvoi_lci","cvoi_uci","red_lci","red_uci","robustness_score","sensitivity_cat"
"Biological resource use",0.976224747474748,1.71322639380821,0.815127840909091,1.15467171717172,1.51316949254449,1.91443843193843,99,"Robust"
"Climate change & severe weather",0.276792732007576,2.07893391878512,0.20985045770202,0.345125078914141,1.88006891835017,2.27487321127946,62.9,"Highly Sensitive"
"Energy production & mining",0.924219065656566,2.20498037813197,0.767290088383838,1.10081281565657,2.05323623136123,2.3650257034632,83.1,"Moderately Sensitive"
"Human intrusions & disturbance",1.13136142676768,2.77543251563252,0.915340909090909,1.36554608585859,2.59885732323232,2.93621632996633,99.8,"Robust"
"Invasive & other problematic species, genes & diseases",0.728295629910213,2.41233054352923,0.616017817059484,0.845815796857463,2.26743415193297,2.55381405020556,48.6,"Highly Sensitive"
"Pollution",0.504365688131313,2.03830249440576,0.387069917929293,0.640356691919192,1.86147569444444,2.20880065536316,74.6,"Highly Sensitive"
"Transportation & service corridors",0.461317866161616,2.11521122083935,0.351136363636364,0.573737373737374,1.84807319223986,2.40283685064935,49,"Highly Sensitive"
